again;ponownie;2
dog bark;szczeknięcie psa;1
trench;okop;2
tribulation;cierpienie;1
summer;lato;1
together;razem;1
lackluster;nijaki;3
recharge;doładować;2
membrane;błona;2
layout;rozmieszczenie;2
cell;komórka;2
insert;wkładać;2
beetle;chrząszcz;2
lens;soczewka;2
cashew;nerkowiec;2
cube;kostka;1
epic (a noun);epopeja;1
doggedly;uparcie;2
dial;tarcza;1
means;środki;2
pager;przywoływacz;3
foam;piana;2
scrutinise;analizować;2
scholar;erudyta;2
copper;miedź;2
steel;stal;1
fluoride;fluorek;1
carbohydrates;węglowodany;1
chilly;chłodny;1
shady;podejrzany;1
stern;srogi;1
famine;głód;2
deodorant;dezodorant;1
odour;woń;1
curtain;zasłona;1
toll;ofiary;2
in a bit;niedługo;2
blank;luka;1
vicinity;pobliże;2
phonics;fonetyka;3
dermal;skórny;3
inborn;wrodzony;2
exemption;wyjątek;2
go off;wybuchnąć;2
off you go!;naprzód!;2
ennoble;uszlachetnić;2
fragile;kruchy;1
crawl;pełzać;2
cosher;rozpieszczać;2
wicked;okropny;2
